Wavelength,WS_site1_00010_Flag_A,Flag_1_Test_00011_Flag_B,Flag_15_Test_00041_Flag_C
1.497,110.4153,54.6491,23.5422
1.498,110.6982,54.73,23.6432
1.499,110.9683,54.8121,23.7465
1.5,111.2268,54.8991,23.8547
1.501,111.4676,54.9919,23.9689
1.502,111.6911,55.0888,24.0877
1.503,111.9138,55.1907,24.2107
1.504,112.1518,55.2988,24.3377
1.505,112.4043,55.4146,24.4708
1.506,112.6654,55.5361,24.6081
1.507,112.9337,55.6602,24.7455
1.508,113.2106,55.7847,24.8796
1.509,113.5048,55.913,25.0127
1.51,113.8008,56.0418,25.1446
1.511,114.0794,56.1667,25.274
1.512,114.334,56.2862,25.4003
1.513,114.5756,56.4029,25.5241
1.514,114.7947,56.5143,25.6458
1.515,114.9812,56.6177,25.7657
1.516,115.1251,56.7117,25.883
1.517,115.2374,56.7983,25.9981
1.518,115.3362,56.8801,26.1129
1.519,115.4364,56.9593,26.2286
1.52,115.5247,57.0331,26.3436
1.521,115.6086,57.1038,26.4592
1.522,115.7026,57.1752,26.5772
1.523,115.8177,57.2487,26.6987
1.524,115.9474,57.3212,26.8225
1.525,116.0855,57.3969,26.9492
1.526,116.2263,57.4802,27.0793
1.527,116.3686,57.5712,27.2124
1.528,116.5152,57.6684,27.3485
1.529,116.665,57.7738,27.4888
1.53,116.8169,57.889,27.6347
1.531,116.9644,58.013,27.7856
1.532,117.1157,58.1461,27.9414
1.533,117.2832,58.2896,28.1024
1.534,117.475,58.4435,28.2683
1.535,117.6828,58.6064,28.4375
1.536,117.9113,58.7809,28.6134
1.537,118.1663,58.9702,28.7996
1.538,118.4531,59.1771,28.9993
1.539,118.7685,59.4,29.2102
1.54,119.1058,59.6349,29.4286
1.541,119.4593,59.8778,29.6505
1.542,119.8357,60.127,29.8755
1.543,120.2295,60.3862,30.1059
1.544,120.6298,60.6599,30.3443
1.545,121.0272,60.9507,30.5923
1.546,121.4244,61.2555,30.848
1.547,121.8291,61.5766,31.1127
1.548,122.2487,61.9165,31.3883
1.549,122.68,62.2772,31.6759
1.55,123.1198,62.6572,31.9744
1.551,123.5847,63.0541,32.2827
1.552,124.0915,63.4658,32.5993
1.553,124.6503,63.8988,32.928
1.554,125.2446,64.3477,33.2658
1.555,125.8522,64.8011,33.6061
1.556,126.459,65.2499,33.9442
1.557,127.0791,65.6988,34.2835
1.558,127.7033,66.1505,34.6235
1.559,128.3191,66.6074,34.9633
1.56,128.9214,67.0713,35.3029
1.561,129.5166,67.541,35.6429
1.562,130.1058,68.0135,35.9817
1.563,130.6898,68.486,36.318
1.564,131.2694,68.9635,36.6531
1.565,131.8433,69.4421,36.9862
1.566,132.4099,69.9128,37.3148
1.567,132.9663,70.3673,37.6364
1.568,133.5106,70.8071,37.9506
1.569,134.0505,71.2406,38.2617
1.57,134.5945,71.6762,38.5741
1.571,135.1499,72.1188,38.8905
1.572,135.7118,72.5639,39.2085
1.573,136.2686,73.0067,39.5252
1.574,136.8089,73.4429,39.8378
1.575,137.3312,73.8714,40.1451
1.576,137.8433,74.2958,40.4499
1.577,138.3533,74.7198,40.7555
1.578,138.8666,75.1478,41.0654
1.579,139.3791,75.5807,41.3806
1.58,139.8912,76.0102,41.694
1.581,140.4046,76.4275,41.9983
1.582,140.9219,76.829,42.2903
1.583,141.4413,77.2195,42.574
1.584,141.9576,77.6027,42.8529
1.585,142.4663,77.9823,43.1305
1.586,142.9733,78.3589,43.4085
1.587,143.4736,78.7295,43.6826
1.588,143.9574,79.0906,43.9473
1.589,144.4145,79.4376,44.197
1.59,144.846,79.7699,44.4323
1.591,145.2685,80.0976,44.6623
1.592,145.699,80.4311,44.896
1.593,146.1402,80.7736,45.1369
1.594,146.585,81.1199,45.3801
1.595,147.0359,81.4681,45.6225
1.596,147.4963,81.8164,45.8616
1.597,147.972,82.167,46.0979
1.598,148.452,82.518,46.3324
1.599,148.9223,82.8665,46.5655
1.6,149.3753,83.2092,46.7961
1.601,149.8183,83.547,47.0236
1.602,150.2521,83.8857,47.2521
1.603,150.6777,84.2309,47.4858
1.604,151.0943,84.5845,47.7271
1.605,151.502,84.9433,47.9728
1.606,151.902,85.3039,48.2182
1.607,152.2932,85.6636,48.4593
1.608,152.6678,86.0234,48.6979
1.609,153.0399,86.3842,48.935
1.61,153.4264,86.7464,49.1709
1.611,153.8394,87.112,49.4064
1.612,154.2709,87.4814,49.6414
1.613,154.7104,87.8484,49.8741
1.614,155.1484,88.2067,50.1029
1.615,155.5963,88.5592,50.3274
1.616,156.046,88.9055,50.5486
1.617,156.4762,89.241,50.7676
1.618,156.8712,89.561,50.9854
1.619,157.2414,89.8652,51.2028
1.62,157.587,90.1609,51.4168
1.621,157.9061,90.4555,51.6243
1.622,158.1849,90.7503,51.824
1.623,158.4312,91.0423,52.0177
1.624,158.6751,91.3332,52.2064
1.625,158.9454,91.6246,52.391
1.626,159.2429,91.9184,52.5704
1.627,159.5507,92.2114,52.7452
1.628,159.8544,92.4991,52.9168
1.629,160.1477,92.7776,53.0853
1.63,160.4411,93.048,53.2493
1.631,160.7216,93.3152,53.4118
1.632,160.975,93.5842,53.5762
1.633,161.1948,93.8565,53.7431
1.634,161.3906,94.1293,53.911
1.635,161.5738,94.4004,54.0789
1.636,161.7523,94.6684,54.2461
1.637,161.9176,94.9346,54.4137
1.638,162.0766,95.1981,54.5805
1.639,162.2396,95.4569,54.745
1.64,162.4128,95.7116,54.9073
1.641,162.5907,95.9628,55.0679
1.642,162.7673,96.2074,55.2251
1.643,162.9373,96.4424,55.3772
1.644,163.1047,96.6667,55.5232
1.645,163.2672,96.8833,55.6652
1.646,163.4189,97.0953,55.8055
1.647,163.5579,97.3056,55.9462
1.648,163.6882,97.5132,56.0868
1.649,163.8039,97.7149,56.2247
1.65,163.8982,97.9073,56.357
1.651,163.9622,98.0931,56.4857
1.652,164.0052,98.2712,56.6101
1.653,164.0441,98.436,56.7263
1.654,164.0934,98.5825,56.8307
1.655,164.1472,98.7111,56.9244
1.656,164.2014,98.826,57.0091
1.657,164.2539,98.9313,57.0862
1.658,164.3133,99.0301,57.1553
1.659,164.3787,99.1203,57.2158
1.66,164.4246,99.1974,57.2706
1.661,164.4258,99.2572,57.3222
1.662,164.3787,99.2989,57.3706
1.663,164.3011,99.3257,57.4146
1.664,164.2106,99.3409,57.4532
1.665,164.1166,99.3458,57.4861
1.666,164.0083,99.338,57.5137
1.667,163.8936,99.3208,57.5358
1.668,163.7816,99.2976,57.5523
1.669,163.6821,99.2702,57.563
1.67,163.5843,99.2362,57.568
1.671,163.4698,99.1925,57.5682
1.672,163.3219,99.1379,57.5645
1.673,163.1446,99.0772,57.5579
1.674,162.9471,99.0022,57.5453
1.675,162.738,98.9028,57.5229
1.676,162.5219,98.7771,57.4916
1.677,162.2942,98.6296,57.4522
1.678,162.0491,98.459,57.4009
1.679,161.7802,98.2636,57.3342
1.68,161.484,98.0413,57.2523
1.681,161.1702,97.7965,57.1574
1.682,160.8507,97.535,57.0512
1.683,160.5329,97.2614,56.9349
1.684,160.2111,96.9728,56.8074
1.685,159.881,96.6651,56.6686
1.686,159.5391,96.3342,56.5184
1.687,159.1958,95.9772,56.3558
1.688,158.8407,95.5981,56.1815
